Time,190-AT1001-AirTemp (°C),990-PC-1106A-H1,990-PC-1106B-H2,990-PC-1107-H1,990-PT-1154A (barg),990-PT-1154B (barg),990-PT-1154C (barg),990-PSHL-1150,990-LT-1181 (mm),990-LT-1182 (mm),990-LT-1183 (mm),990-PT-1159 (barg),190-ZSL-1103,190-ZSH-1103,190-ZSI-1103,190-ZT-1103 (%),990-PT-1179 (barg),190-ZSL-1104,190-ZSH-1104,190-ZSI-1104,190-ZT-1104 (%),
2020.04.01 03:55:14.081,,,,,,,,,,,,,,,,,169.41076660156,,,,,
2020.04.01 03:55:22.077,,,,,,,,,,,,158.65226745606,,,,,,,,,,
2020.04.01 03:57:18.087,,,,,164.38714599609,,,,,,,,,,,,,,,,,
2020.04.01 03:58:12.086,,,,,,164.31227111816,,,,,,,,,,,,,,,,
2020.04.01 03:58:24.085,,,,,,,,,,,,,,,,,169.29846191406,,,,,
2020.04.01 04:01:13.096,0.5,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:02:29.045,,,,,,,,,,,,,,,,,169.17868041992,,,,,
2020.04.01 04:02:30.098,,,,,,,164.12510681152,,,,,,,,,,,,,,,
2020.04.01 04:04:49.039,,,,,,164.28231811523,,,,,,,,,,,,,,,,
2020.04.01 04:04:55.012,,,,,,,,,,,720.62329101563,,,,,,,,,,,
2020.04.01 04:06:48.005,,,,,,,,,,,,,,,,,169.08883666992,,,,,
2020.04.01 04:08:43.011,0.40000000596046,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:10:30.013,,,,,,,164.09515380859,,,,,,,,,,,,,,,
2020.04.01 04:10:46.018,,,,,,,,,,,,,,,,,169.01396179199,,,,,
2020.04.01 04:10:47.019,,,,,,,,,,,,158.66723632813,,,,,,,,,,
2020.04.01 04:11:14.008,,,,,164.35719299316,,,,,,,,,,,,,,,,,
2020.04.01 04:13:13.023,0.5,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:14:13.027,0.40000000596046,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:16:06.018,,,,,,,,,,,,,,,,,168.95407104492,,,,,
2020.04.01 04:18:08.033,,,,,,,,,,,,,,,,99.953887939453,,,,,,
2020.04.01 04:18:44.033,,,,,,,,,,,720.55053710938,,,,,,,,,,,
2020.04.01 04:21:32.044,,,,,,,,,,,,,,,,,168.90167236328,,,,,
2020.04.01 04:21:45.047,,,,,,164.24488830566,,,,,,,,,,,,,,,,
2020.04.01 04:21:57.043,,,,,,,,,,,,158.69718933106,,,,,,,,,,
2020.04.01 04:26:04.051,,,,,,164.28231811523,,,,,,,,,,,,,,,,
2020.04.01 04:26:12.054,,,,,,,,,,,,,,,,,168.83428955078,,,,,
2020.04.01 04:28:55.056,,,,,164.37965393066,,,,,,,,,,,,,,,,,
2020.04.01 04:32:08.035,,,,,,,164.13258361816,,,,,,,,,,,,,,,
2020.04.01 04:36:13.058,0.5,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:36:47.060,,,,,,,,,,,,158.80200195313,,,,,,,,,,
2020.04.01 04:37:17.063,,,,,,164.31227111816,,,,,,,,,,,,,,,,
2020.04.01 04:39:05.070,,,,,164.40960693359,,,,,,,,,,,,,,,,,
2020.04.01 04:39:54.073,,,,,,,,,,,,,,,,,168.95407104492,,,,,
2020.04.01 04:40:21.071,,,,,,,,,,,,158.89184570313,,,,,,,,,,
2020.04.01 04:40:27.012,,,,,,,,,,,720.62329101563,,,,,,,,,,,
2020.04.01 04:41:13.079,0.60000002384186,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:42:04.078,,,,,,,,,,,,,,,,99.968353271484,,,,,,
2020.04.01 04:42:55.077,,,,,,,,,,,,,,,,,169.06637573242,,,,,
2020.04.01 04:44:08.083,,,,,,,164.17002868652,,,,,,,,,,,,,,,
2020.04.01 04:44:41.081,,,,,,164.35719299316,,,,,,,,,,,,,,,,
2020.04.01 04:46:10.086,,,,,164.45452880859,,,,,,,,,,,,,,,,,
2020.04.01 04:46:26.085,,,,,,,,,,,,,,,,,169.18615722656,,,,,
2020.04.01 04:46:35.060,,,,,,,,,,,,158.96672058106,,,,,,,,,,
2020.04.01 04:48:59.084,,,,,,,164.22991943359,,,,,,,,,,,,,,,
2020.04.01 04:49:04.003,,,,,,,,,,,,,,,,,169.32092285156,,,,,
2020.04.01 04:49:44.091,,,,,,,,,,,,,,,,99.957504272461,,,,,,
2020.04.01 04:50:21.092,,,,,,,,,,,,159.07153320313,,,,,,,,,,
2020.04.01 04:50:44.005,,,,,,164.42457580566,,,,,720.55053710938,,,,,,,,,,,
2020.04.01 04:51:32.088,,,,,164.50692749023,,,,,,,,,,,,,,,,,
2020.04.01 04:51:41.000,,,,,,,,,,,,,,,,,169.44819641113,,,,,
2020.04.01 04:51:43.005,0.69999998807907,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:52:50.013,,,,,,,,,,,,159.20629882813,,,,,,,,,,
2020.04.01 04:53:13.009,0.60000002384186,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:53:50.014,,,,,,,164.29730224609,,,,,,,,,,,,,,,
2020.04.01 04:54:03.006,,,,,,,,,,,,,,,,,169.58296203613,,,,,
2020.04.01 04:55:17.012,,,,,,,,,,,,159.34104919434,,,,,,,,,,
2020.04.01 04:55:26.009,,,,,164.57431030273,,,,,,,,,,,,,,,,,
2020.04.01 04:55:39.007,,,,,,164.49195861816,,,,,,,,,,,,,,,,
2020.04.01 04:56:51.020,,,,,,,,,,,,,,,,,169.70275878906,,,,,
2020.04.01 04:57:23.010,,,,,,,,,,,,159.48330688477,,,,,,,,,,
2020.04.01 04:57:43.013,0.69999998807907,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:59:18.021,,,,,,,,,,,,,,,,,169.8225402832,,,,,
2020.04.01 04:59:23.023,,,,,,,164.35719299316,,,,,,,,,,,,,,,
2020.04.01 04:59:31.016,,,,,,,,,,,,159.62554931641,,,,,,,,,,
2020.04.01 05:00:58.021,,,,,164.64169311523,,,,,,,,,,,,,,,,,
2020.04.01 05:01:02.020,,,,,,164.54435729981,,,,,,,,,,,,,,,,
2020.04.01 05:01:38.017,,,,,,,,,,,,159.78277587891,,,,,,,,,,
2020.04.01 05:01:57.023,,,,,,,,,,,,,,,,,169.94981384277,,,,,
2020.04.01 05:04:10.059,,,,,,,,,,,,159.91754150391,,,,,,,,,,
2020.04.01 05:04:21.020,,,,,,,,,,,,,,,,,170.09954833984,,,,,
2020.04.01 05:04:30.023,,,,,,,164.42457580566,,,,,,,,,,,,,,,
2020.04.01 05:05:25.030,,,,,,164.61174011231,,,,,,,,,,,,,,,,
2020.04.01 05:06:36.049,,,,,,,,,,,,160.06727600098,,,,,,,,,,
2020.04.01 05:06:43.031,0.80000001192093,,,,164.70907592773,,,,,,,,,,,,,,,,,
2020.04.01 05:07:04.041,,,,,,,,,,,,,,,,,170.25677490234,,,,,
2020.04.01 05:08:17.039,,,,,,,,,690.423828125,,,,,,,,,,,,,
2020.04.01 05:08:40.041,,,,,,,,,,,,160.23197937012,,,,,,,,,,
2020.04.01 05:09:06.029,,,,,,,,,,,,,,,,,170.42147827148,,,,,
2020.04.01 05:10:01.041,,,,,,,164.49943542481,,,,,,,,,,,,,,,
2020.04.01 05:10:27.040,,,,,,,,,,,,160.41914367676,,,,,,,,,,
2020.04.01 05:10:53.042,,,,,,,,,,,,,,,,,170.60116577148,,,,,
2020.04.01 05:10:59.036,,,,,,164.67163085938,,,,,,,,,,,,,,,,
2020.04.01 05:11:52.037,,,,,164.78393554688,,,,,,,,,,,,,,,,,
2020.04.01 05:12:12.048,,,,,,,,,,,,160.60632324219,,,,,,,,,,
2020.04.01 05:12:39.040,,,,,,,,,,,,,,,,,170.79582214356,,,,,
2020.04.01 05:13:50.051,,,,,,,,,,,,160.80097961426,,,,,,,,,,
2020.04.01 05:14:13.047,0.89999997615814,,,,,,,,,,,,,,,,,,,,,
2020.04.01 05:14:27.044,,,,,,,,,,,,,,,,,170.9829864502,,,,,
2020.04.01 05:15:14.051,,,,,,164.74650573731,,,,,,,,,,,,,,,,
